Controller,ISE (Joint 3),IAE (Joint 3),ISE (Joint 5),IAE (Joint 5)
TDC,8.622990373004022e-05,0.018183327102551963,5.1110018279703106e-05,0.01849364598408082
AISMC,5.429304985137598e-05,0.014122367921212431,4.344630341486909e-05,0.009436504166911127
ASMC,1.588511987721005e-05,0.0024110576964879557,1.88815164735348e-05,0.006383904326992169
MAG-STC,0.3125554018691922,0.8753180252720386,1.3375130065624867,1.8757178863584418
NFTSM,0.5780385383270654,2.370861044442397,0.8595526212775504,2.8760416766571506
