Controller,Joint,RMS_Torque,MaxAbs_Torque,MeanAbs_Torque,Torque_TV,Torque_Rate_RMS
TDC,1,3.3935299908280783,59.03638284059466,1.700503946723746,6020.814068777606,884.3921570602905
TDC,2,6.5663561198169615,37.956712844301144,4.939762107736646,16109.218627510714,1954.5495295944938
TDC,3,10.301205275553778,115.05976059688285,6.892471198727011,18318.899574483676,2145.355060848871
TDC,4,6.746542541593124,27.147585849644443,5.407894116689125,14784.050423804936,1797.0549794155256
TDC,5,6.239491215180959,23.5877835112487,5.024755791818723,12042.151514914289,1440.8418894100723
TDC,6,3.6042218819902914,33.30955502140413,2.7311413638320845,5879.428026010973,713.3084426169497
AISMC,1,0.23612026212047976,0.6842692604079359,0.21272560363656198,4.308029183479645,3.876742941000871
AISMC,2,0.36341658027176366,6.03687473723739,0.21622909261679943,73.31200551714285,82.20039177835177
AISMC,3,0.3972464131893976,1.7831803783637257,0.3241792933203319,9.516545942768692,7.058703323301585
AISMC,4,0.047699244320007474,0.3424324152095875,0.04233797028024137,3.0792842469958526,2.221151081412678
AISMC,5,1.5232600889390844,2.443957222116704,1.5171294442536365,10.773067526155756,7.732505418792398
AISMC,6,0.2730143958666903,1.6752319691113233,0.229504774411847,9.956361509884141,5.474984877211697
NFTSM,1,28.276816042602857,100.0,20.71592625836619,413645.0807246375,47410.79587412299
NFTSM,2,0.5861326957435501,3.14158,0.4710082189665174,9030.193598083399,1000.5305046943224
NFTSM,3,0.8630927219705407,1.85005,0.6861684352321002,12729.03663911911,1389.358436076174
NFTSM,4,1.0628855563968707,1.76278,0.9656742838717766,19095.88986109665,1957.1414506602819
NFTSM,5,1.2254164511128647,3.14158,1.2114550842823637,2224.808470461681,311.5632843862643
NFTSM,6,0.2636023036140396,2.23402,0.2082562106752074,3139.979066774622,349.2091509292127
MAG-STC,1,0.2216847879181565,5.429556915391198,0.1955758132340191,13.017243259775823,75.30642382897172
MAG-STC,2,0.20880471004401024,3.137352841962681,0.17495732115063817,9.030089866226323,43.24626474950547
MAG-STC,3,0.3031695425380303,4.859732513283934,0.25083038282362,14.51901272639305,74.01739061029794
MAG-STC,4,0.04406854167089348,0.7241057789723206,0.04037444540884333,1.8430441760420908,10.029710969210575
MAG-STC,5,1.3857850177691344,2.7672212630064497,1.3231922605882,10.387627711082807,46.04234924098779
MAG-STC,6,0.22178574192576853,3.477464649708742,0.19980437691719805,10.078365922129981,48.224608573198964
ASMC,1,0.24924867683597032,4.143881647843108,0.21407762258027296,10.278284232662266,36.65696471745149
ASMC,2,0.23898571468982666,2.957702420670709,0.1987828518052135,7.577619674838907,23.326162383737415
ASMC,3,0.49903094664648295,6.0472100692729045,0.3377994159122181,16.305544903051814,37.07030486024968
ASMC,4,0.047167827881580804,0.610783408717619,0.041739549608265716,1.6240216519888606,5.542898797870224
ASMC,5,1.5218253011468295,1.8127914899347617,1.5173708336428693,7.580142403699108,17.31769309254531
ASMC,6,0.2808670997422322,3.3931879044151843,0.2275931616086879,11.189993258827508,25.07907311073159
