Controller,ISE (Joint 3),IAE (Joint 3),MAE (Joint 3),RMSE (Joint 3),MaxAbs (Joint 3),ISE (Joint 5),IAE (Joint 5),MAE (Joint 5),RMSE (Joint 5),MaxAbs (Joint 5)
TDC,8.622990373004022e-05,0.018183327102551963,0.0018183327102551964,0.0029364928695646483,0.03725133573637107,5.1110018279703106e-05,0.01849364598408082,0.001849364598408082,0.0022607524915324788,0.0089644302032732
AISMC,5.429304985137598e-05,0.014122367921212431,0.001412236792121243,0.002330086905061182,0.03191847057300312,4.344630341486909e-05,0.009436504166911127,0.0009436504166911128,0.002084377686861695,0.03422892111923881
NFTSM,0.5780385383270654,2.370861044442397,0.23708610444423972,0.2404243203852442,0.32440007233378315,0.8595526212775504,2.8760416766571506,0.28760416766571506,0.29318127861061494,0.3643713218237723
MAG-STC,0.3125554018691922,0.8753180252720386,0.08753180252720386,0.1767923646171384,0.6016925401407632,1.3375130065624867,1.8757178863584418,0.18757178863584417,0.3657202491744867,1.1142666056658954
ASMC,1.588511987721005e-05,0.0024110576964879557,0.00024110576964879557,0.001260361847931381,0.02367650065071536,1.88815164735348e-05,0.006383904326992169,0.0006383904326992169,0.0013741003046915754,0.01211725825612242
