Controller,ISE_joint_norm,IAE_joint_norm,MAE_joint_norm,RMSE_joint_norm,Max_joint_norm,RMS_tau_norm,Max_tau_norm,Mean_tau_norm
TDC,0.0005913124581545615,0.0690217010330324,0.00690217010330324,0.007689684376842533,0.04867355012619486,16.06814895638163,134.07229915039176,13.753830272944027
AISMC,0.00023305953183452803,0.03410623481605266,0.0034106234816052663,0.004827623968729628,0.05140425803593106,1.6561287626890517,6.4903948879531415,1.6384326061917898
NFTSM,2.3975804870711093,4.86500241541482,0.486500241541482,0.489650945783944,0.5486793169120897,28.34374116890828,100.15617790972307,20.962685473768325
MAG-STC,1.8177151756705336,2.336144865860909,0.23361448658609094,0.4263467105151081,1.2907914728617722,1.4683958563049555,9.12220775583755,1.409376664202363
ASMC,4.6528376892776854e-05,0.009636125716100823,0.0009636125716100823,0.0021570437383784517,0.030255470545956252,1.6629294450927532,7.5787499989957965,1.6378783421013066
